Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Right,1,Antenna_Shield,
C1,0805,1,47uF,C16780
C10,0402,1,1uF,C52923
"C11, C14, C5, C9",0402,4,100nF,C307331
"C12, C13, C3, C4",0402,4,12pF,C526985
C6,0402,1,0.8pF NP0 5%,C76915
C7,0402,1,4.7uF,C23733
C8,0402,1,100pF,C1546
D1,0402,1,LED,C5158108
"L1, L2",0402,2,nc,
L3,0402,1,3.9nH,C14033
L4,0402,1,15nH,C27143
L5,0603,1,10uH,C1035
R1,0402,1,1R1,C25860 
"R2, R3",0402,2,10k,C25744 
U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,1,nRF52832-QFxx,C77540
U2,lsm6dsr,1,LSM6DSRTR,C784817
U3,BMP581,1,BMP580,C22391138
U4,Texas_PWSON-N6,1,HDC1080,C2864159
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,C718072
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,C5185312,C5185312
